verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
deflated	add	2.42	0.25	3.17	0.58	0.58	0.75	0.67	0.50		0.83	5.58	6.42	1.25	1.25	2.50	4.83	4.08
delight		1	0.70	0.87	0.10	2.37	0.87	0.10	0.67	0.40		3.23	0.80	4.03	1.53	0.50	2.03	1.73	4.33
deliver		3	1.93	0.13	0.13	1.13	2.90	0.17	0.33	1.73		1.27	2.07	3.33	3.23	1.90	5.13	0.77	7.70
demolish	2	3.69	0.09	0.00	0.31	0.88	0.03	0.13	0.84		0.41	3.69	4.09	1.00	0.88	1.88	0.25	5.72
deny		1	1.13	0.53	0.63	0.13	0.80	0.90	1.03	1.33		0.67	1.77	2.43	1.83	2.23	4.07	3.10	3.40
depart		*	0.58	1.02	0.83	0.55	1.53	1.00	1.58	0.92		1.57	1.42	2.98	3.12	1.92	5.03	4.43	3.58
deport		2	1.34	0.25	0.25	0.47	2.22	0.22	0.31	2.00		0.72	1.59	2.31	2.53	2.22	4.75	1.03	6.03
depreciate	*	2.96	0.10	1.23	0.00	0.15	0.26	0.19	0.33		0.10	4.19	4.29	0.34	0.58	0.92	1.77	3.44
depress		1	3.17	0.00	0.53	0.30	0.60	0.00	0.00	0.73		0.30	3.70	4.00	0.60	0.73	1.33	0.53	4.80
descend		*	3.31	0.11	1.64	0.17	0.13	0.00	0.05	0.08		0.28	4.95	5.23	0.17	0.08	0.25	1.80	3.69
desert		3	0.90	1.23	0.77	0.37	0.67	1.30	1.67	0.93		1.60	1.67	3.27	2.33	2.23	4.57	4.97	2.87
desire		1	1.07	0.00	0.00	1.93	2.20	0.80	0.33	1.60		1.93	1.07	3.00	2.53	2.40	4.93	1.13	6.80
despise		2	2.38	0.22	0.41	0.59	1.13	0.13	0.47	1.38		0.81	2.78	3.59	1.59	1.50	3.09	1.22	5.47
deteriorate	3	2.80	0.00	2.47	0.00	0.10	0.60	0.47	0.23		0.00	5.27	5.27	0.57	0.83	1.40	3.53	3.13
dig		1	3.70	0.00	0.10	0.43	0.33	0.00	0.00	0.17		0.43	3.80	4.23	0.33	0.17	0.50	0.10	4.63
diminish	*	2.60	0.34	1.28	0.25	0.53	0.20	0.18	0.90		0.59	3.87	4.46	0.71	1.10	1.81	1.99	4.28
disappoint	1	0.37	0.20	1.87	0.93	0.37	0.93	0.43	0.50		1.13	2.23	3.37	0.80	1.43	2.23	3.43	2.17
dismiss		2	2.28	0.19	0.09	0.41	1.88	0.31	0.28	1.91		0.59	2.38	2.97	2.16	2.22	4.38	0.88	6.47
distract	2	1.03	0.31	0.31	0.78	1.59	1.25	1.06	1.59		1.09	1.34	2.44	2.66	2.84	5.50	2.94	5.00
dive		add	3.00	0.17	3.17	0.17	1.00	0.17	0.33	0.83		0.33	6.17	6.50	1.33	1.00	2.33	3.83	5.00
drag		3	0.30	0.60	0.67	0.30	0.73	2.00	2.40	1.23		0.90	0.97	1.87	3.13	3.23	6.37	5.67	2.57
drain		1	1.90	0.40	1.73	0.40	0.20	0.33	0.17	0.33		0.80	3.63	4.43	0.37	0.67	1.03	2.63	2.83
dribble		add	1.25	0.08	1.17	0.08	2.58	0.50	1.00	1.50		0.17	2.42	2.58	3.58	2.00	5.58	2.75	5.42
drift		3	0.10	0.13	0.13	0.47	2.47	0.97	1.40	1.73		0.60	0.23	0.83	3.87	2.70	6.57	2.63	4.77
drink		3	1.37	0.97	1.03	0.67	0.63	1.13	0.87	0.40		1.63	2.40	4.03	1.50	1.53	3.03	4.00	3.07
drip		2	3.72	0.09	0.31	0.13	0.25	0.00	0.00	0.25		0.22	4.03	4.25	0.25	0.25	0.50	0.41	4.34
drop		*	3.73	0.00	1.42	0.00	0.00	0.00	0.00	0.05		0.00	5.15	5.15	0.00	0.05	0.05	1.42	3.78
dump		add	3.75	0.00	0.00	0.17	2.08	0.25	0.00	1.33		0.17	3.75	3.92	2.08	1.58	3.67	0.25	7.33
dwell		3	0.17	0.97	1.90	0.27	0.40	1.13	1.17	0.53		1.23	2.07	3.30	1.57	1.67	3.23	5.17	1.37
earn		1	0.47	0.87	1.00	0.70	0.87	1.40	1.10	0.57		1.57	1.47	3.03	1.97	1.97	3.93	4.37	2.60
eat		2	1.66	0.25	0.34	1.00	2.00	0.41	0.56	0.81		1.25	2.00	3.25	2.56	1.22	3.78	1.56	5.47
eject		3	2.07	0.00	0.10	2.10	2.10	0.13	0.00	1.50		2.10	2.17	4.27	2.10	1.63	3.73	0.23	7.77
elate		3	0.52	0.52	0.21	2.86	0.86	0.10	0.14	0.17		3.38	0.72	4.10	1.00	0.28	1.28	0.97	4.41
emerge		3	0.13	2.27	0.17	2.23	0.70	0.30	0.77	0.30		4.50	0.30	4.80	1.47	0.60	2.07	3.50	3.37
